Label,city,country,Id,ICAO,latitude,longitude
Royan-Médis Logic.Airport,Royan,France,RYN,LFCY,45.62810134887695,-0.9725000262260436
Rochefort-Saint-Agnant (BA 721) Logic.Airport,Rochefort,France,RCO,LFDN,45.88779830932617,-0.9830560088157654
Colmar-Houssen Logic.Airport,Colmar,France,CMR,LFGA,48.109901428222656,7.359010219573975
Dole-Tavaux Logic.Airport,Dole,France,DLE,LFGJ,47.042685999999996,5.435061
Aubenas-Ardèche Méridional Logic.Airport,Aubenas-vals-lanas,France,OBS,LFHO,44.5442008972,4.372189998630001
Le Puy-Loudes Logic.Airport,Le Puy,France,LPY,LFHP,45.0806999206543,3.7628901004791264
Bourg-Ceyzériat Logic.Airport,Bourg,France,XBK,LFHS,46.20090103149414,5.292029857635498
Villefranche-Tarare Logic.Airport,Vilefrance,France,XVF,LFHV,45.919983,4.634931
Moulins-Montbeugny Logic.Airport,Moulins,France,XMU,LFHY,46.53459930419922,3.423719882965088
Metz-Nancy-Lorraine Logic.Airport,Metz,France,ETZ,LFJL,48.9821014404,6.25131988525
Bastia-Poretta Logic.Airport,Bastia,France,BIA,LFKB,42.55270004272461,9.48373031616211
Calvi-Sainte-Catherine Logic.Airport,Calvi,France,CLY,LFKC,42.52444439999999,8.793055599999999
Figari Sud-Corse Logic.Airport,Figari,France,FSC,LFKF,41.5005989074707,9.097780227661133
Ajaccio-Napoléon Bonaparte Logic.Airport,Ajaccio,France,AJA,LFKJ,41.92359924316406,8.8029203414917
Solenzara (BA 126) Air Base,Solenzara,France,SOZ,LFKS,41.924400329589844,9.406000137329102
Auxerre-Branches Logic.Airport,Auxerre,France,AUF,LFLA,47.85020065307617,3.4971098899841313
Chambéry-Savoie Logic.Airport,Chambery,France,CMF,LFLB,45.638099670410156,5.880229949951173
Clermont-Ferrand Auvergne Logic.Airport,Clermont-Ferrand,France,CFE,LFLC,45.786701202399996,3.1691699027999998
Bourges Logic.Airport,Bourges,France,BOU,LFLD,47.05810165405274,2.3702800273895264
Chalon-Champforgeuil Logic.Airport,Chalon,France,XCD,LFLH,46.82609939575195,4.817629814147949
Annemasse Logic.Airport,Annemasse,France,QNJ,LFLI,46.1920013428,6.268390178680002
Lyon Saint-Exupéry Logic.Airport,Lyon,France,LYS,LFLL,45.72555560000001,5.081111099999999
Mâcon-Charnay Logic.Airport,Macon,France,QNX,LFLM,46.295101,4.79577
Roanne-Renaison Logic.Airport,Roanne,France,RNE,LFLO,46.05830001831055,4.001389980316162
